rank,name,age,earnings,cup,events,rounds,cuts,top10,wins,score,ddis,dacc,girr,putts,sand,birds,year
163,Jason Dufner,46,"$505,269",261,29,86,16,0,0,71.0,289.6,64.5,66.0,1.787,54.6,3.430,2021
164,Aaron Baddeley,42,"$160,640",90,22,54,9,0,0,70.7,289.3,57.7,64.0,1.738,52.6,3.519,2021
165,Tom Hoge,33,"$1,690,223",997,34,96,17,2,0,70.7,289.2,63.7,62.6,1.730,47.4,3.875,2021
165,Austin Cook,32,"$898,902",383,29,72,11,1,0,70.8,289.2,65.5,64.5,1.768,44.6,3.347,2021
167,Kevin Kisner,39,"$2,952,177",1214,26,78,17,4,1,70.7,289.1,67.6,65.0,1.747,48.7,3.718,2021
168,Zach Johnson,47,"$1,241,402",517,24,84,18,3,0,70.3,289.0,62.5,66.9,1.769,59.0,3.667,2021
169,Adam Long,35,"$1,496,681",636,30,84,14,2,0,71.2,288.6,67.4,63.0,1.757,48.3,3.571,2021
170,Kevin Na,39,"$3,625,982",-16,26,87,20,5,1,69.9,288.5,66.6,64.1,1.739,59.6,4.000,2021
171,"Ted Potter, Jr.",39,"$355,877",157,25,68,9,1,0,71.6,288.4,57.1,62.5,1.766,41.2,3.691,2021
172,Nelson Ledesma,--,"$215,567",115,19,48,9,0,0,71.5,288.2,59.3,65.4,1.761,36.2,3.646,2021
173,Brice Garnett,39,"$926,914",452,31,92,19,3,0,70.1,288.1,70.7,68.1,1.770,57.0,3.565,2021
173,Michael Thompson,37,"$907,001",403,24,74,17,1,0,70.8,288.1,68.4,65.5,1.773,50.4,3.568,2021
175,Rafa Cabrera Bello,38,"$486,337",205,26,74,12,0,0,71.6,288.0,64.4,62.7,1.778,47.2,3.243,2021
176,Matt Kuchar,44,"$1,348,917",456,25,66,12,1,0,70.7,287.8,66.1,65.5,1.746,60.6,3.576,2021
177,Rory Sabbatini,47,"$968,716",403,25,75,13,2,0,70.8,287.5,62.1,64.8,1.739,58.6,3.947,2021
178,Brian Gay,51,"$916,158",579,27,70,9,1,1,71.8,286.8,59.7,60.7,1.778,51.9,3.186,2021
179,Cameron Percy,48,"$784,607",400,27,77,17,2,0,70.4,286.7,63.7,72.6,1.772,50.0,3.662,2021
179,Mark Anderson,37,"$360,642",168,21,56,11,1,0,70.8,286.7,63.5,68.2,1.773,45.8,3.554,2021
181,Brandt Snedeker,42,"$1,347,790",565,28,84,17,2,0,70.7,286.6,64.0,64.5,1.732,45.5,3.726,2021
182,Satoshi Kodaira,33,"$671,889",287,27,76,13,0,0,70.6,286.2,69.6,65.2,1.769,46.5,3.750,2021
183,Luke Donald,45,"$333,336",149,23,56,6,0,0,71.2,286.1,57.6,67.1,1.794,46.5,3.161,2021
184,J.J. Spaun,32,"$419,752",178,26,72,13,1,0,71.2,285.7,69.0,67.4,1.798,45.3,3.458,2021
185,Ian Poulter,47,"$1,641,459",707,21,72,17,3,0,70.5,285.2,66.3,60.9,1.734,61.6,3.625,2021
186,Rob Oppenheim,43,"$448,364",229,27,74,13,1,0,70.8,284.2,64.6,63.8,1.754,48.0,3.824,2021
187,Andrew Putnam,34,"$1,572,704",669,32,89,17,4,0,70.5,283.8,61.6,66.1,1.763,56.8,3.584,2021
188,Fabián Gómez,44,"$258,734",125,24,54,8,0,0,71.6,283.3,61.6,62.2,1.780,50.0,3.185,2021
189,Ryan Armour,47,"$962,354",434,28,78,12,4,0,70.3,282.0,72.8,67.0,1.746,51.1,3.795,2021
190,Chez Reavie,41,"$1,126,279",536,30,84,16,1,0,70.8,281.9,74.1,67.1,1.784,45.5,3.464,2021
191,Mark Hubbard,33,"$762,137",337,32,96,20,0,0,70.4,280.2,67.8,65.0,1.745,55.4,3.615,2021
192,Vaughn Taylor,47,"$648,742",306,30,78,13,1,0,70.8,278.4,67.7,64.7,1.753,55.4,3.487,2021
193,Brian Stuard,40,"$1,343,197",592,35,104,20,3,0,70.4,277.8,73.3,66.7,1.752,46.3,3.740,2021
194,Brendon Todd,37,"$1,349,804",544,28,86,19,3,0,70.5,275.2,75.2,64.9,1.738,55.6,3.616,2021
195,David Hearn,43,"$406,435",227,24,64,10,1,0,70.9,274.7,70.0,66.3,1.759,44.3,3.547,2021
196,K.J. Choi,52,"$122,319",45,21,52,7,0,0,71.6,269.2,66.9,62.8,1.793,61.9,3.135,2021
1,Bryson DeChambeau,29,"$4,998,495",1682,17,62,14,9,1,68.8,322.1,57.4,68.5,1.726,62.9,4.419,2020
2,Cameron Champ,27,"$2,290,839",963,20,70,15,2,1,70.4,322.0,56.4,67.7,1.775,48.2,4.043,2020
3,Ryan Brehm,37,"$162,079",75,0,50,9,0,0,70.9,315.3,48.8,68.8,1.819,49.3,3.740,2020
4,Rory McIlroy,33,"$4,408,415",1516,15,60,15,7,1,69.1,314.0,56.3,67.8,1.738,45.2,4.200,2020
5,Grayson Murray,29,"$244,150",100,14,36,5,1,0,71.1,313.8,54.2,63.9,1.758,43.5,3.972,2020
6,Brandon Hagy,32,"$341,322",167,0,46,8,0,0,70.5,312.8,51.0,67.6,1.782,58.2,3.870,2020
7,Jason Kokrak,37,"$1,494,604",827,20,62,11,3,0,70.2,312.4,57.6,68.6,1.803,43.8,3.661,2020
8,Sam Burns,26,"$757,500",345,19,58,11,1,0,70.2,312.0,54.8,67.0,1.755,32.1,3.897,2020
9,Matthew Wolff,23,"$2,224,348",921,21,74,16,2,0,70.4,311.6,59.0,66.8,1.772,43.5,3.865,2020
10,Dustin Johnson,38,"$5,837,267",3471,14,49,11,7,3,68.9,311.0,59.1,69.3,1.704,54.2,4.347,2020
11,Bubba Watson,44,"$1,565,323",768,20,66,13,3,0,70.0,311.0,57.9,67.7,1.766,45.4,3.667,2020
12,Tyler McCumber,--,"$284,230",151,0,53,10,0,0,71.0,310.2,54.3,66.2,1.804,39.2,3.792,2020
13,Tony Finau,33,"$2,932,286",1237,20,72,16,7,0,69.4,309.8,51.8,68.8,1.730,47.7,4.194,2020
14,Tommy Fleetwood,32,"$1,025,676",412,11,40,9,1,0,69.9,309.6,61.3,67.2,1.787,56.9,3.875,2020
15,Jhonattan Vegas,38,"$527,009",235,17,50,9,1,0,70.1,309.0,62.0,70.2,1.786,39.2,4.060,2020
16,Scottie Scheffler,26,"$2,833,438",1391,23,82,18,7,0,69.3,308.9,61.2,69.0,1.737,49.0,4.354,2020
17,Will Gordon,26,0,0,11,32,7,2,0,69.6,308.8,57.4,71.7,1.797,50.0,4.094,2020
18,Patrick Rodgers,30,"$1,015,849",440,27,91,20,1,0,70.3,308.5,52.9,67.0,1.747,49.2,3.769,2020
19,Adam Scott,42,"$2,272,434",832,10,38,9,1,1,69.7,308.1,55.5,68.1,1.740,55.1,3.789,2020
20,Cam Davis,28,"$857,225",443,20,58,11,2,0,69.9,308.0,58.8,69.3,1.779,57.0,4.138,2020
21,Luke List,38,"$731,507",297,22,69,12,1,0,70.4,307.8,57.5,69.5,1.803,53.8,3.652,2020
22,Jon Rahm,28,"$5,959,819",3080,15,58,14,8,2,68.8,307.6,63.1,70.3,1.717,58.8,4.224,2020
23,Paul Casey,45,"$1,868,952",730,15,56,13,1,0,69.9,307.2,63.6,70.6,1.774,47.5,3.643,2020
24,Scott Harrington,42,"$951,211",381,22,68,11,1,0,71.2,307.1,58.4,64.5,1.790,57.7,3.588,2020
25,Brooks Koepka,32,"$1,123,227",360,13,40,8,2,0,70.7,307.0,53.8,66.8,1.748,43.8,3.900,2020
26,Beau Hossler,28,"$658,088",308,22,67,13,1,0,70.8,306.6,53.9,65.2,1.757,51.8,3.567,2020
27,Sergio Garcia,43,"$658,935",241,12,44,10,1,0,70.1,305.8,60.6,68.3,1.793,55.1,3.841,2020
28,Kris Ventura,28,"$278,309",157,0,44,7,0,0,70.4,305.7,59.7,67.2,1.773,38.2,4.227,2020
29,Byeong Hun An,31,"$2,283,951",943,22,75,15,5,0,70.3,305.7,54.3,65.8,1.756,50.7,3.827,2020
30,Gary Woodland,38,"$2,195,131",801,17,62,14,6,0,69.6,305.4,60.0,68.2,1.753,47.6,4.065,2020
31,Xander Schauffele,29,"$3,813,636",1449,18,70,17,7,0,69.0,305.4,60.3,70.9,1.737,56.4,4.243,2020
32,Wyndham Clark,29,"$814,737",346,23,61,10,1,0,70.9,305.1,52.2,62.6,1.739,53.4,3.803,2020
33,Séamus Power,36,"$351,069",168,11,32,7,1,0,70.0,304.5,58.6,69.4,1.733,51.4,4.375,2020
34,Hideki Matsuyama,31,"$3,665,825",1587,20,74,17,5,0,69.4,304.4,57.0,68.5,1.755,55.0,4.041,2020
35,Justin Thomas,29,"$7,344,040",2570,18,66,15,10,3,68.8,304.2,57.3,69.6,1.722,62.5,4.545,2020
36,Kevin Tway,34,"$256,320",110,0,48,7,0,0,71.5,303.8,49.9,62.6,1.787,39.2,3.292,2020
37,Sebastian Cappelen,--,"$371,482",156,19,53,8,1,0,71.3,303.7,51.1,64.4,1.785,47.7,3.509,2020
38,Brendan Steele,40,"$1,739,131",761,20,64,14,3,0,70.0,303.6,59.9,68.1,1.762,49.5,3.859,2020
39,Sung Kang,35,"$1,560,024",512,22,73,14,2,0,71.2,303.4,55.6,65.3,1.786,44.4,3.644,2020
40,Patrick Cantlay,31,"$2,118,336",922,12,46,11,3,0,69.6,303.1,59.4,68.4,1.723,55.4,4.152,2020
41,Sepp Straka,29,"$1,140,441",466,25,70,10,3,0,70.6,302.7,60.2,67.0,1.777,51.8,3.700,2020
42,Lanto Griffin,34,"$3,188,586",1392,27,92,21,4,1,70.1,302.5,57.2,65.5,1.753,54.5,3.870,2020
43,Sebastián Muñoz,30,"$2,864,142",1421,26,84,16,5,1,69.9,302.3,60.4,66.3,1.748,50.0,4.048,2020
44,Nick Watney,41,"$534,797",253,17,44,6,1,0,70.3,302.3,55.4,70.2,1.750,45.3,4.000,2020
45,Martin Trainer,31,"$89,482",31,0,46,2,0,0,74.3,302.1,48.1,52.1,1.810,47.9,2.891,2020
46,Martin Laird,40,"$232,786",106,12,39,7,1,0,70.4,302.1,63.7,70.5,1.806,32.2,3.590,2020
47,Adam Schenk,31,"$678,928",349,0,74,15,0,0,69.8,302.0,62.3,69.1,1.778,49.1,3.824,2020
48,Danny Lee,32,"$2,043,764",777,22,69,13,3,0,70.2,302.0,57.1,65.6,1.750,53.1,4.058,2020
49,Harold Varner III,32,"$1,060,152",457,22,74,14,1,0,69.8,301.9,61.7,70.6,1.754,44.0,4.014,2020
50,Cameron Tringale,35,"$911,172",450,18,63,14,1,0,69.9,301.9,54.0,69.7,1.776,50.0,3.889,2020
51,Keith Mitchell,31,"$886,979",342,21,64,11,1,0,71.2,301.9,58.3,65.0,1.774,48.0,3.781,2020
52,Peter Uihlein,33,"$301,846",136,0,43,9,0,0,70.1,301.8,47.4,68.0,1.759,57.7,4.000,2020
53,Matt Wallace,32,"$800,993",244,13,44,9,1,0,71.1,301.7,53.1,63.6,1.760,59.3,3.659,2020
54,Joaquin Niemann,24,"$2,914,136",1366,23,76,15,4,1,69.9,301.7,56.5,69.3,1.767,51.4,3.921,2020
55,Lucas Glover,43,"$728,355",303,21,67,12,1,0,70.5,301.6,64.6,68.7,1.780,49.2,3.925,2020
56,Jordan Spieth,29,"$1,138,146",354,17,62,14,3,0,70.4,301.6,52.1,62.4,1.724,49.1,3.871,2020
57,Tyrrell Hatton,31,"$3,434,867",1275,11,42,10,6,1,69.1,301.6,61.7,69.3,1.704,43.2,4.548,2020
58,Zack Sucher,--,"$215,568",114,0,36,5,0,0,71.0,301.6,53.3,68.4,1.790,48.3,3.889,2020
59,Aaron Wise,26,"$355,972",175,18,45,6,2,0,70.3,301.5,59.9,72.1,1.793,52.4,3.933,2020
60,Phil Mickelson,52,"$1,493,908",488,16,51,0,2,0,70.6,301.5,54.0,63.5,1.748,56.6,3.765,2020
61,Danny Willett,35,"$621,028",202,13,40,7,1,0,71.7,301.2,55.4,62.5,1.769,56.8,3.625,2020
62,Charles Howell III,43,"$1,371,807",551,20,69,14,3,0,70.2,301.1,54.6,68.8,1.768,50.5,3.667,2020
63,Harry Higgs,31,"$1,251,570",684,25,83,16,2,0,70.4,301.0,62.2,66.1,1.752,48.6,3.663,2020
64,Keegan Bradley,36,"$824,471",379,0,68,14,0,0,70.6,301.0,59.7,66.4,1.793,51.3,3.471,2020
65,Vince Whaley,28,"$207,571",106,15,38,6,1,0,70.7,300.9,58.4,66.7,1.761,29.4,3.868,2020
66,Harris English,33,"$3,299,366",1805,20,76,18,6,0,69.1,300.9,61.7,70.9,1.749,51.3,4.026,2020
67,Kevin Chappell,36,"$176,506",75,0,41,7,0,0,70.9,300.6,56.5,65.2,1.748,47.6,3.854,2020
68,Max Homa,32,"$1,453,056",540,21,70,14,4,0,70.6,300.6,58.9,64.6,1.764,49.0,3.657,2020
69,Sungjae Im,25,"$4,337,811",1650,26,94,21,7,1,69.6,300.5,64.5,67.1,1.734,58.8,4.149,2020
70,Carlos Ortiz,31,"$1,631,474",721,22,72,14,3,0,70.1,300.3,55.4,66.7,1.760,48.7,3.708,2020
71,Daniel Berger,30,"$4,439,420",2007,17,64,15,7,1,68.8,300.2,63.9,66.9,1.728,59.8,4.375,2020
72,Louis Oosthuizen,40,"$1,312,138",611,13,48,11,2,0,70.4,300.1,60.6,65.3,1.757,43.2,3.583,2020
73,Cameron Smith,29,"$2,372,487",1059,19,64,13,2,1,70.3,299.8,54.5,64.1,1.736,57.5,3.859,2020
74,Jason Day,35,"$1,943,898",666,17,53,10,5,0,70.1,299.7,55.9,64.8,1.746,65.5,3.755,2020
75,Justin Rose,42,"$965,656",413,13,38,6,2,0,70.3,299.6,60.3,63.2,1.736,61.3,4.000,2020
76,Shane Lowry,36,"$781,326",283,13,44,9,1,0,69.9,299.4,60.9,69.4,1.796,61.5,3.659,2020
77,Viktor Hovland,25,"$1,982,275",1009,20,74,17,3,1,69.7,299.3,63.2,68.5,1.726,45.5,3.973,2020
78,Joseph Bramlett,35,"$495,690",223,18,53,10,1,0,70.8,299.3,57.4,70.0,1.798,48.1,3.623,2020
79,Billy Horschel,36,"$2,383,908",953,22,79,17,6,0,70.0,299.3,62.8,66.2,1.738,50.0,3.924,2020
80,Ryan Palmer,46,"$2,724,926",1116,19,68,15,5,0,70.0,299.3,60.1,65.9,1.742,50.0,3.985,2020
81,Dominic Bozzelli,31,"$272,865",112,13,36,5,1,0,71.3,299.0,51.7,63.0,1.708,43.5,4.194,2020
82,Corey Conners,31,"$1,498,121",695,22,74,15,1,0,70.1,298.7,67.1,71.5,1.800,44.4,3.730,2020
83,Mackenzie Hughes,32,"$2,079,951",980,22,70,12,4,0,70.3,298.7,55.8,63.4,1.735,54.4,3.714,2020
84,Michael Gligic,33,"$238,411",132,0,48,8,0,0,70.9,298.4,59.5,67.1,1.788,50.8,3.583,2020
85,Talor Gooch,31,"$1,398,171",648,24,83,18,2,0,70.1,298.2,58.3,67.1,1.745,51.0,3.831,2020
86,Nelson Ledesma,--,"$45,520",27,0,40,3,0,0,71.7,298.2,51.0,62.6,1.761,48.1,3.600,2020
87,Richy Werenski,31,"$1,716,407",836,17,56,12,3,1,70.1,298.1,58.0,66.7,1.729,50.9,3.893,2020
88,Si Woo Kim,27,"$1,074,246",454,24,74,15,1,0,70.6,298.1,57.0,65.5,1.750,49.3,3.892,2020
89,Jimmy Walker,45,"$243,370",112,0,46,6,0,0,72.0,298.0,46.8,62.2,1.765,37.1,3.457,2020
90,Rhein Gibson,--,"$182,113",87,0,50,10,0,0,71.2,297.8,51.9,65.2,1.768,56.3,3.800,2020
91,Sam Ryder,33,"$690,246",349,25,70,12,2,0,70.3,297.7,61.2,66.3,1.770,42.4,3.929,2020
92,D.J. Trahan,42,"$345,471",165,17,47,7,1,0,70.6,297.6,64.7,68.2,1.795,45.5,3.809,2020
93,Scott Stallings,38,"$664,849",296,20,67,15,2,0,69.7,297.6,57.3,69.7,1.743,48.3,3.881,2020
94,Abraham Ancer,32,"$2,903,306",1159,20,74,17,4,0,69.6,297.5,64.4,67.0,1.743,49.2,3.797,2020
95,J.J. Spaun,32,"$232,472",102,0,58,10,0,0,71.3,297.4,57.8,66.0,1.758,45.8,3.810,2020
96,Doc Redman,25,"$1,129,549",514,24,82,17,1,0,69.8,297.4,68.3,70.8,1.752,55.0,3.939,2020
97,Matt Jones,42,"$996,369",398,23,76,16,2,0,70.3,297.3,59.2,66.2,1.764,58.3,3.763,2020
98,Collin Morikawa,26,"$5,250,868",2025,21,80,19,7,2,69.6,297.3,65.5,69.0,1.749,54.0,4.050,2020
99,Branden Grace,34,"$354,443",136,16,41,6,1,0,70.2,297.3,55.7,68.4,1.778,53.1,3.610,2020
100,Scott Piercy,44,"$809,871",361,19,66,14,1,0,70.8,297.2,62.7,64.7,1.770,36.2,3.409,2020
101,Nick Taylor,34,"$1,897,539",741,18,59,11,2,1,70.3,296.6,64.2,66.9,1.757,46.3,3.559,2020
102,Maverick McNealy,27,"$1,293,984",575,23,76,17,3,0,70.1,296.6,58.2,65.9,1.736,61.4,4.053,2020
103,Robby Shelton,27,"$1,232,306",597,24,71,13,3,0,70.8,296.6,61.2,66.9,1.773,46.5,3.732,2020
104,Charley Hoffman,46,"$932,875",476,20,59,11,2,0,70.3,296.5,56.8,68.4,1.726,53.4,4.220,2020
105,K.H. Lee,31,"$781,808",382,25,72,13,1,0,70.7,296.4,65.0,65.2,1.766,53.3,3.736,2020
106,Russell Knox,37,"$519,028",269,0,63,11,0,0,70.0,296.3,62.2,70.1,1.800,55.4,3.635,2020
107,Webb Simpson,37,"$5,097,742",2163,14,52,12,8,2,68.1,296.2,67.3,70.8,1.691,56.3,4.673,2020
108,Chesson Hadley,35,"$485,193",239,0,58,12,0,0,70.3,296.0,66.7,70.2,1.741,44.8,4.310,2020
109,Alex Noren,40,"$1,274,003",706,17,56,13,4,0,69.6,296.0,58.1,64.8,1.740,58.6,3.875,2020
110,Patrick Reed,32,"$4,250,060",1485,20,74,17,8,1,69.4,296.0,56.1,65.3,1.700,60.6,4.230,2020
111,Doug Ghim,26,"$187,442",102,0,40,5,0,0,70.7,296.0,63.7,69.6,1.816,52.6,3.525,2020
112,Marc Leishman,39,"$3,109,752",1096,18,61,13,3,1,71.2,295.8,51.9,61.5,1.770,42.1,3.393,2020
113,Emiliano Grillo,30,"$849,538",405,23,65,12,3,0,70.3,295.7,66.1,71.5,1.803,46.7,3.769,2020
114,Stewart Cink,49,"$490,620",207,14,51,11,1,0,71.0,295.7,56.4,68.0,1.763,47.2,3.588,2020
115,Joel Dahmen,35,"$2,120,973",843,22,79,18,5,0,70.2,295.4,64.6,63.9,1.747,50.7,3.684,2020
116,Ben Taylor,--,"$99,775",54,0,42,4,0,0,70.9,295.2,57.9,68.9,1.808,49.1,3.357,2020
117,Cameron Percy,48,"$470,679",208,17,45,8,1,0,70.3,295.0,59.2,69.6,1.782,49.1,3.556,2020
118,Matthew NeSmith,29,"$783,232",372,23,68,13,1,0,69.9,295.0,64.1,70.2,1.765,49.5,3.721,2020
119,Rickie Fowler,34,"$947,309",402,14,44,8,2,0,70.1,294.9,64.8,66.5,1.738,47.9,3.932,2020
120,Patton Kizzire,37,"$352,764",129,19,55,8,1,0,70.6,294.8,54.0,64.8,1.735,45.5,3.782,2020
121,Matt Fitzpatrick,28,"$2,109,709",887,15,54,12,5,0,70.2,294.7,64.6,66.0,1.734,47.2,3.667,2020
122,Bo Hoag,34,"$621,518",281,22,67,13,1,0,70.4,294.7,63.2,70.0,1.784,40.2,3.552,2020
123,Hank Lebioda,29,"$436,840",230,20,55,8,1,0,70.8,294.7,60.3,67.7,1.773,49.5,3.600,2020
124,Bronson Burgoon,35,"$589,539",255,19,53,9,1,0,69.8,294.6,59.6,66.9,1.727,53.3,4.151,2020
125,Anirban Lahiri,35,"$58,388",27,0,35,5,0,0,70.7,294.4,60.7,68.1,1.767,51.7,4.200,2020
126,Bill Haas,40,"$130,293",59,0,44,7,0,0,70.9,294.3,61.3,69.4,1.811,50.8,3.636,2020
127,Josh Teater,44,"$453,508",217,15,41,6,1,0,70.3,294.0,68.2,71.5,1.761,35.3,3.927,2020
128,Adam Hadwin,35,"$1,710,808",692,17,65,15,3,0,70.1,294.0,64.5,68.3,1.755,65.0,3.646,2020
129,Kevin Streelman,44,"$2,520,845",944,23,73,13,4,0,70.4,293.9,65.9,67.7,1.763,52.9,3.822,2020
130,Xinjun Zhang,35,"$1,232,376",474,25,77,13,3,0,70.6,293.8,59.5,66.0,1.755,50.0,4.104,2020
131,Austin Cook,32,"$386,353",162,0,60,11,0,0,70.6,293.8,66.7,68.2,1.779,42.1,3.717,2020
132,Denny McCarthy,30,"$1,178,557",511,23,77,18,4,0,69.8,293.8,61.6,67.5,1.719,49.6,4.221,2020
133,Robert Streb,36,"$415,258",207,19,50,7,1,0,71.1,293.7,58.1,67.3,1.766,35.4,3.500,2020
134,James Hahn,41,"$327,110",129,0,36,5,0,0,70.5,293.7,61.4,69.4,1.780,40.3,3.667,2020
135,Rafa Cabrera Bello,38,"$646,577",258,0,53,10,0,0,70.7,293.7,62.6,63.8,1.759,37.9,3.642,2020
136,Michael Gellerman,--,"$125,992",61,0,42,7,0,0,71.0,293.5,62.5,68.3,1.783,33.3,3.690,2020
137,Mark Anderson,37,"$278,630",154,0,47,9,0,0,70.6,293.1,59.5,66.8,1.809,54.9,3.043,2020
138,Brian Harman,36,"$1,482,583",860,22,78,17,1,0,69.4,293.0,63.3,65.7,1.717,61.0,3.974,2020
139,Kramer Hickok,30,"$253,646",131,0,49,7,0,0,70.7,292.8,67.2,66.2,1.825,49.2,3.184,2020
140,Matt Every,39,"$202,546",94,0,45,6,0,0,71.9,292.3,58.0,65.1,1.769,39.5,3.956,2020
141,Henrik Norlander,36,"$1,175,431",483,23,74,14,3,0,70.1,292.1,69.6,70.6,1.765,44.0,3.838,2020
142,Adam Long,35,"$2,186,913",950,25,88,18,3,0,70.0,292.0,62.5,67.7,1.756,45.2,3.784,2020
143,Troy Merritt,37,"$1,037,971",489,22,68,14,2,0,70.5,291.8,64.5,66.5,1.758,48.0,3.765,2020
144,Bo Van Pelt,47,"$50,838",15,0,43,4,0,0,72.7,291.7,59.2,65.1,1.827,25.9,2.977,2020
145,Roger Sloan,35,"$253,597",131,0,51,7,0,0,70.7,291.5,58.3,65.6,1.779,54.4,3.412,2020
146,Dylan Frittelli,32,"$1,507,497",664,24,82,17,3,0,70.4,291.3,60.8,65.8,1.775,50.7,3.756,2020
147,Chase Seiffert,31,"$539,756",254,18,54,10,1,0,70.5,291.3,62.5,68.1,1.766,45.0,3.648,2020
148,Brice Garnett,39,"$626,179",294,0,58,9,0,0,69.8,290.6,64.4,69.9,1.760,48.3,3.638,2020
149,Bud Cauley,33,"$1,042,100",443,20,61,13,2,0,70.2,290.5,59.0,65.6,1.761,67.0,3.344,2020
150,Wes Roach,34,"$267,966",123,14,40,7,2,0,70.8,290.5,62.6,67.9,1.771,39.0,3.725,2020
151,Tom Hoge,33,"$1,857,073",728,24,74,13,3,0,70.3,290.4,60.6,65.6,1.768,43.3,3.770,2020
152,Pat Perez,47,"$1,010,905",421,18,55,12,2,0,70.1,290.3,62.7,70.5,1.769,57.8,3.618,2020
153,J.T. Poston,29,"$1,282,929",576,23,78,16,2,0,69.9,290.2,63.7,64.7,1.711,57.2,3.885,2020
154,"Ted Potter, Jr.",39,"$361,540",163,19,44,4,2,0,71.1,290.2,60.7,68.9,1.789,39.4,3.455,2020
155,Mark Hubbard,33,"$1,840,473",792,24,86,19,3,0,69.8,290.1,62.8,66.7,1.734,47.3,3.744,2020
156,Russell Henley,33,"$1,195,378",682,20,63,13,4,0,69.6,290.1,65.6,71.7,1.781,55.7,3.603,2020
157,Ryan Moore,40,"$957,540",360,16,44,9,2,0,70.2,289.9,68.6,68.6,1.742,47.9,3.886,2020
158,Andrew Landry,35,"$1,510,275",647,21,63,10,1,1,70.7,289.7,65.7,64.1,1.765,46.2,3.635,2020
159,Chris Baker,--,"$270,300",141,0,49,9,0,0,70.5,289.5,69.5,70.1,1.809,50.8,3.449,2020
160,Fabián Gómez,44,"$564,722",274,19,55,10,2,0,70.4,289.2,65.8,66.7,1.759,58.2,3.545,2020
161,Kevin Kisner,39,"$2,266,752",1169,21,73,15,4,0,69.8,289.2,65.2,65.4,1.743,50.9,3.795,2020
162,Brandt Snedeker,42,"$896,750",358,16,53,10,1,0,69.9,288.5,61.9,65.9,1.750,55.6,3.792,2020
163,Scott Brown,39,"$963,412",323,22,64,9,1,0,71.0,288.5,67.4,64.5,1.786,44.1,3.406,2020
164,Brian Gay,51,"$702,647",323,23,63,10,2,0,70.8,288.5,58.7,64.8,1.722,38.5,3.889,2020
165,Michael Thompson,37,"$1,577,832",662,20,62,10,2,1,70.5,288.4,65.4,65.0,1.772,57.1,3.435,2020
166,Peter Malnati,35,"$561,273",238,0,57,10,0,0,70.8,287.6,54.5,62.6,1.727,44.9,3.719,2020
167,Chris Stroud,41,"$249,013",120,0,46,6,0,0,70.8,287.0,59.4,64.6,1.738,53.3,3.826,2020
168,Nate Lashley,40,"$1,035,222",395,20,52,9,2,0,70.7,287.0,62.1,64.9,1.769,47.0,3.385,2020
169,C.T. Pan,31,"$329,997",112,0,56,9,0,0,71.2,287.0,60.3,67.3,1.798,46.2,3.214,2020
170,Kevin Na,39,"$2,794,402",1102,21,71,15,4,1,70.1,286.9,62.7,63.2,1.733,55.6,3.803,2020
171,Ian Poulter,47,"$1,034,334",437,13,48,12,1,0,69.9,286.8,59.6,62.6,1.708,54.0,3.708,2020
172,Arjun Atwal,50,"$63,252",32,0,31,5,0,0,70.8,286.5,66.5,66.5,1.806,50.0,3.452,2020
173,Tyler Duncan,33,"$1,799,855",834,25,83,16,1,1,70.3,286.3,69.9,67.5,1.763,43.0,3.699,2020
174,Jason Dufner,46,"$306,781",138,0,62,12,0,0,70.8,286.2,66.4,67.8,1.818,52.6,3.258,2020
175,Zach Johnson,47,"$777,727",358,18,61,12,1,0,70.0,285.9,62.8,68.0,1.751,50.6,3.770,2020
176,Jim Herman,45,"$1,390,275",619,21,60,9,1,1,71.8,285.6,69.3,64.2,1.824,42.0,3.200,2020
177,Kyle Stanley,35,"$490,359",246,20,53,8,1,0,70.1,285.1,71.3,72.5,1.783,48.0,3.830,2020
178,Aaron Baddeley,42,"$286,504",153,0,47,7,0,0,70.4,284.9,59.5,64.9,1.738,56.3,3.957,2020
179,Tim Wilkinson,44,"$307,772",183,0,46,9,0,0,70.1,284.7,68.3,67.4,1.762,48.6,3.609,2020
180,Chez Reavie,41,"$1,123,769",429,22,77,16,2,0,70.5,284.4,69.7,67.2,1.778,56.7,3.403,2020
181,Rob Oppenheim,43,"$454,470",236,21,61,11,1,0,70.8,284.2,63.0,65.2,1.791,52.7,3.443,2020
182,Ryan Armour,47,"$850,571",366,21,58,8,3,0,70.1,284.1,73.9,67.9,1.756,39.0,3.914,2020
183,Graeme McDowell,43,"$751,082",305,16,48,9,1,0,71.6,283.9,62.0,63.3,1.768,36.5,3.417,2020
184,Rory Sabbatini,47,"$629,885",291,0,66,13,0,0,70.4,283.9,60.8,65.2,1.778,59.8,3.667,2020
185,Ben Martin,35,"$270,879",142,0,36,6,0,0,70.3,283.6,64.4,67.1,1.768,48.2,3.667,2020
186,Matt Kuchar,44,"$1,515,585",646,16,56,12,1,0,70.1,282.9,65.8,65.0,1.734,58.4,3.786,2020
187,Brendon Todd,37,"$3,390,258",1576,25,86,18,4,2,69.7,282.7,71.4,65.5,1.736,61.6,3.907,2020
188,David Hearn,43,"$287,527",152,19,51,8,1,0,70.4,281.8,68.4,66.9,1.769,45.6,3.510,2020
189,Vaughn Taylor,47,"$1,148,779",442,19,61,11,2,0,70.5,281.6,67.8,63.8,1.720,47.0,3.885,2020
