rank,name,age,earnings,cup,events,rounds,cuts,top10,wins,score,ddis,dacc,girr,putts,sand,birds,year
50,Nick Hardy,27,"$675,808",272,16,52,10,1,0,70.3,304.3,56.7,69.2,1.753,43.4,3.788,2023
52,Tyrrell Hatton,31,"$4,638,594",641,9,30,8,3,0,70.1,304.2,63.9,64.8,1.734,42.2,3.967,2023
53,Jimmy Walker,45,"$319,798",127,12,34,4,0,0,71.7,303.9,49.3,60.1,1.804,54.2,3.324,2023
53,Matt Fitzpatrick,28,"$1,566,268",318,10,29,6,2,0,70.6,303.9,61.2,64.8,1.763,54.5,3.690,2023
55,Carl Yuan,--,"$170,385",76,13,36,4,0,0,71.0,303.6,52.7,66.0,1.766,54.8,3.694,2023
56,Shane Lowry,36,"$1,262,954",280,8,26,7,1,0,70.8,303.4,67.9,66.5,1.775,51.5,3.423,2023
56,Garrick Higgo,23,"$1,026,317",363,16,50,9,1,0,70.8,303.4,53.5,67.0,1.779,52.6,3.940,2023
58,Seonghyeon Kim,24,"$1,177,397",403,18,63,13,1,0,70.3,303.2,55.8,63.6,1.728,67.3,3.825,2023
59,Charley Hoffman,46,"$510,832",134,15,41,5,0,0,70.9,303.0,52.9,66.0,1.819,55.0,3.439,2023
60,Stephan Jaeger,33,"$809,007",288,15,56,13,1,0,69.7,302.8,54.5,68.8,1.758,52.9,3.821,2023
61,Jason Day,35,"$3,942,533",793,14,48,12,6,0,69.3,302.5,63.0,69.0,1.737,59.0,4.271,2023
61,Ben Taylor,--,"$1,489,760",500,16,54,10,3,0,70.1,302.5,53.0,67.1,1.762,53.6,3.815,2023
63,Zecheng Dou,--,"$282,886",110,15,47,8,0,0,71.4,302.2,53.9,64.8,1.814,33.9,3.255,2023
64,Jordan Spieth,29,"$3,369,622",628,11,36,9,4,0,70.0,302.0,55.5,66.4,1.730,61.8,4.250,2023
64,Ben Griffin,26,"$1,520,047",501,17,59,14,1,0,69.6,302.0,52.1,65.9,1.730,61.2,4.153,2023
66,Lucas Herbert,27,"$561,783",124,7,20,5,1,0,71.7,301.9,51.4,58.3,1.748,46.5,3.650,2023
67,Patton Kizzire,37,"$688,079",223,14,44,8,2,0,70.7,301.7,55.9,62.8,1.736,48.4,4.023,2023
67,Beau Hossler,28,"$934,659",268,15,48,9,0,0,70.1,301.7,56.1,66.3,1.735,51.9,3.979,2023
69,Tony Finau,33,"$3,598,101",976,11,38,10,3,1,69.3,301.4,60.9,70.2,1.715,58.8,4.684,2023
69,Michael Gligic,33,"$29,699",11,16,37,2,0,0,72.1,301.4,53.8,61.7,1.820,35.9,2.865,2023
69,Aaron Wise,26,"$997,958",283,11,33,7,1,0,69.8,301.4,60.2,63.6,1.690,27.8,4.212,2023
72,Maverick McNealy,27,"$1,271,920",403,13,41,10,3,0,69.5,301.3,55.1,64.5,1.714,60.3,3.878,2023
73,Kevin Chappell,36,"$198,371",94,9,28,4,0,0,70.8,301.2,56.0,66.3,1.772,46.5,3.321,2023
73,Taylor Moore,29,"$2,825,077",865,16,55,11,1,1,70.4,301.2,57.4,65.6,1.790,48.2,3.636,2023
75,Ryan Palmer,46,"$201,651",52,12,35,5,0,0,71.4,301.1,58.7,64.1,1.762,51.0,3.743,2023
75,Max Homa,32,"$7,776,012",1801,11,40,11,6,2,69.3,301.1,62.8,67.5,1.698,49.0,4.575,2023
77,Trevor Werbylo,--,"$215,904",81,15,50,10,0,0,71.4,301.0,48.8,63.4,1.786,51.1,3.420,2023
78,Harry Higgs,31,"$467,566",204,14,44,8,1,0,70.5,300.8,50.7,66.5,1.708,55.0,4.045,2023
78,Matt Wallace,32,"$1,199,943",501,13,40,7,2,1,70.2,300.8,55.3,65.8,1.762,46.7,3.950,2023
80,Tano Goya,34,"$301,644",121,15,50,10,0,0,70.8,300.7,58.0,66.1,1.778,55.2,3.800,2023
81,Emiliano Grillo,30,"$1,104,102",319,15,53,11,2,0,70.8,300.5,61.1,67.9,1.770,44.3,3.811,2023
81,Sahith Theegala,25,"$3,775,152",869,15,54,14,6,0,69.9,300.5,55.1,67.6,1.708,57.4,4.315,2023
83,Alex Noren,40,"$743,059",232,12,36,8,1,0,70.7,300.1,55.0,65.0,1.772,50.9,3.694,2023
84,Xander Schauffele,29,"$2,940,972",617,10,33,9,5,0,69.6,299.8,57.3,68.5,1.727,53.7,4.061,2023
85,Michael Kim,29,"$539,757",208,16,49,8,1,0,70.9,299.7,57.2,66.7,1.794,53.4,3.347,2023
85,Alex Smalley,26,"$1,141,565",407,16,54,11,2,0,70.4,299.7,58.1,68.8,1.765,47.3,3.556,2023
87,Seung-Yul Noh,31,"$261,558",111,10,35,7,0,0,70.9,299.5,53.2,64.4,1.736,43.5,3.686,2023
88,Austin Smotherman,28,"$311,816",109,15,44,7,0,0,71.3,299.1,59.0,62.5,1.768,45.0,3.477,2023
88,Kevin Roy,33,"$112,548",50,15,42,5,0,0,71.0,299.1,56.8,65.7,1.781,47.7,3.548,2023
90,Cody Gribble,32,"$458,410",165,8,28,6,2,0,70.8,298.7,62.0,66.3,1.740,48.9,3.821,2023
90,Davis Riley,26,"$1,223,251",312,17,52,11,1,0,70.7,298.7,57.6,68.2,1.770,42.5,3.769,2023
92,Erik van Rooyen,33,"$544,767",193,11,34,6,2,0,70.7,298.4,59.1,66.7,1.762,41.5,3.912,2023
93,Scott Stallings,38,"$1,066,962",261,13,42,10,0,0,70.8,298.1,55.9,65.1,1.770,48.3,3.524,2023
94,Corey Conners,31,"$2,682,684",779,12,38,9,1,1,70.2,298.0,60.5,69.6,1.763,42.9,4.263,2023
95,Nico Echavarria,28,"$935,380",414,14,38,4,1,1,70.9,297.9,56.4,63.3,1.730,43.3,3.816,2023
95,Harry Hall,25,"$574,044",239,16,52,10,1,0,70.0,297.9,54.6,66.3,1.729,51.3,4.038,2023
97,Séamus Power,36,"$3,064,282",972,14,48,12,3,1,69.9,297.8,59.3,66.2,1.699,50.9,4.333,2023
97,Akshay Bhatia,--,0,0,0,26,6,1,0,69.4,297.8,60.5,70.5,1.752,62.9,4.346,2023
99,K.H. Lee,31,"$1,680,237",443,14,47,11,2,0,69.9,297.7,62.4,68.1,1.745,48.6,4.191,2023
100,Keegan Bradley,36,"$4,616,724",1153,12,38,9,4,1,70.0,297.6,61.5,66.4,1.733,40.8,4.132,2023
100,Kramer Hickok,30,"$433,290",136,15,43,6,0,0,70.9,297.6,62.4,66.7,1.789,50.8,3.395,2023
102,Mackenzie Hughes,32,"$2,791,899",805,13,40,9,2,1,70.5,297.5,54.0,64.2,1.747,42.6,3.750,2023
102,Sungjae Im,25,"$3,302,038",700,14,50,13,4,0,69.4,297.5,65.0,67.3,1.744,72.1,4.300,2023
104,Lee Hodges,27,"$1,255,195",359,17,51,8,2,0,70.5,297.2,59.8,63.7,1.773,50.8,3.353,2023
105,Nick Watney,41,"$195,692",75,14,40,5,0,0,72.2,297.1,47.2,60.8,1.772,48.3,3.250,2023
106,Chesson Hadley,35,"$441,052",135,16,46,6,0,0,70.7,297.0,54.5,65.1,1.764,54.5,3.630,2023
107,Webb Simpson,37,"$501,211",136,10,31,5,1,0,71.5,296.8,61.1,60.2,1.735,38.6,3.419,2023
107,J.J. Spaun,32,"$1,756,739",485,15,48,11,2,0,69.6,296.8,61.2,69.1,1.771,63.6,3.833,2023
109,Jason Dufner,46,"$201,558",54,15,43,6,0,0,71.5,296.5,53.5,66.9,1.801,51.6,3.372,2023
109,Tyson Alexander,34,"$1,098,016",373,15,49,9,1,0,70.9,296.5,53.8,62.8,1.760,52.6,3.694,2023
111,Austin Eckroat,24,"$384,647",149,15,44,6,1,0,70.4,296.4,61.5,64.6,1.770,49.3,3.795,2023
112,Kyle Stanley,35,"$45,767",11,9,24,3,0,0,72.9,296.3,59.3,67.1,1.872,29.4,2.500,2023
113,Tyler Duncan,33,"$1,029,685",331,17,48,7,2,0,70.5,296.1,65.1,68.2,1.766,43.8,3.958,2023
114,Richy Werenski,31,"$234,648",122,17,43,4,0,0,71.8,296.0,53.6,59.8,1.728,46.9,3.605,2023
115,Chris Kirk,37,"$3,177,760",1024,15,48,11,4,1,69.8,295.8,61.6,66.6,1.697,63.9,4.000,2023
115,James Hahn,41,"$201,784",59,12,34,4,0,0,72.0,295.8,60.0,66.2,1.807,33.3,3.382,2023
117,Si Woo Kim,27,"$2,696,196",858,14,50,13,2,1,69.9,295.7,65.8,67.4,1.733,59.6,4.020,2023
118,Hideki Matsuyama,31,"$2,308,225",462,14,46,11,2,0,70.1,295.5,60.4,65.0,1.751,56.7,3.957,2023
118,J.T. Poston,29,"$1,387,949",405,15,46,10,3,0,70.2,295.5,62.3,69.7,1.756,54.1,3.957,2023
118,Tom Kim,20,"$3,237,766",917,12,42,11,3,1,69.3,295.5,71.1,70.5,1.745,54.2,4.000,2023
121,Eric Cole,34,"$1,455,181",482,16,50,9,1,0,69.9,295.4,53.1,63.4,1.713,57.6,3.920,2023
122,Tommy Fleetwood,32,"$1,558,667",403,9,30,8,2,0,70.4,295.3,60.0,59.3,1.713,56.0,3.933,2023
123,Denny McCarthy,30,"$1,810,355",480,16,54,13,2,0,69.6,295.0,59.2,66.5,1.737,53.0,3.944,2023
124,Billy Horschel,36,"$1,090,508",228,11,32,7,2,0,71.2,294.9,63.1,65.1,1.757,43.2,3.813,2023
125,Sepp Straka,29,"$1,737,889",521,14,44,10,2,0,70.7,294.6,62.9,68.1,1.764,41.1,3.705,2023
125,Hank Lebioda,29,"$208,727",81,11,31,4,0,0,71.5,294.6,57.3,68.1,1.811,50.0,3.258,2023
127,Carson Young,--,"$320,594",132,16,43,5,1,0,71.2,294.4,61.2,66.4,1.786,45.6,3.256,2023
128,Harris English,33,"$2,863,015",536,17,53,11,2,0,70.4,294.3,60.7,63.7,1.766,45.7,3.604,2023
128,Robert Streb,36,"$69,944",38,15,35,2,0,0,71.5,294.3,51.2,61.6,1.784,45.5,3.171,2023
130,Tom Hoge,33,"$3,799,156",755,16,50,11,4,0,69.2,294.2,64.7,70.2,1.701,52.1,4.540,2023
131,Kevin Streelman,44,"$388,715",151,16,52,10,0,0,71.2,294.1,60.0,65.0,1.793,53.6,3.327,2023
131,Anders Albertson,29,"$87,639",34,9,26,4,0,0,71.2,294.1,53.6,59.4,1.712,62.0,3.462,2023
133,Bill Haas,40,"$136,584",59,8,23,3,0,0,71.0,294.0,57.8,64.0,1.808,48.6,3.696,2023
134,Justin Suh,25,"$1,675,331",367,17,54,13,2,0,70.2,293.8,63.0,67.2,1.740,44.6,4.056,2023
135,Adam Hadwin,35,"$1,799,445",405,13,44,11,3,0,69.8,293.7,63.9,67.7,1.729,51.5,4.000,2023
136,Nick Taylor,34,"$3,479,435",747,16,51,11,4,0,69.7,293.6,58.1,65.5,1.700,51.1,4.216,2023
137,Brian Harman,36,"$2,367,687",739,14,43,9,2,0,69.7,293.5,68.0,68.5,1.760,58.9,3.930,2023
138,Sam Ryder,33,"$1,869,520",550,16,53,10,3,0,69.7,293.4,54.2,63.6,1.677,44.7,4.302,2023
139,Dylan Wu,26,"$614,929",215,14,50,11,1,0,70.2,293.2,61.9,69.2,1.756,51.3,3.980,2023
140,Peter Malnati,35,"$799,008",247,16,45,6,1,0,71.1,292.9,50.9,60.6,1.741,58.0,3.511,2023
141,Andrew Novak,28,"$718,322",281,12,43,9,1,0,70.7,292.8,57.3,65.4,1.794,52.6,3.488,2023
142,Matt Kuchar,44,"$2,121,277",531,12,37,8,4,0,69.5,292.6,62.5,67.9,1.763,78.3,3.838,2023
142,Justin Rose,42,"$3,088,020",828,11,38,8,3,1,69.8,292.6,66.5,67.1,1.728,65.5,4.000,2023
142,Ben Martin,35,"$1,028,684",345,16,55,11,3,0,70.0,292.6,62.6,69.3,1.749,55.1,4.018,2023
142,Collin Morikawa,26,"$4,068,734",860,11,36,9,4,0,69.5,292.6,71.2,70.5,1.755,55.8,4.278,2023
142,Brandon Wu,26,"$1,510,430",448,17,59,12,1,0,70.0,292.6,60.6,67.0,1.756,36.6,3.881,2023
147,Martin Laird,40,"$365,213",131,14,40,6,0,0,71.2,292.5,60.5,63.9,1.757,51.5,3.625,2023
148,Nate Lashley,40,"$818,847",252,15,47,8,2,0,70.5,292.4,59.0,68.1,1.752,44.4,3.957,2023
148,Cole Hammer,23,0,0,0,0,5,1,0,0.0,292.4,56.2,61.3,1.777,40.8,0.000,2023
150,Scott Piercy,44,"$453,770",194,17,50,8,0,0,70.6,292.2,54.1,63.7,1.763,47.8,3.740,2023
151,Greyson Sigg,28,"$690,526",240,16,55,11,1,0,70.2,291.8,59.6,66.4,1.749,50.0,3.636,2023
152,Justin Lower,34,"$772,575",280,17,51,8,2,0,70.7,291.7,59.4,64.4,1.733,48.1,4.000,2023
152,Aaron Rai,28,"$1,053,211",286,16,57,12,1,0,70.2,291.7,67.3,69.7,1.772,36.9,3.772,2023
152,Doug Ghim,26,"$187,600",68,13,37,5,0,0,71.2,291.7,62.4,66.5,1.806,48.7,3.081,2023
155,Danny Willett,35,"$1,643,146",492,12,39,8,1,0,70.4,291.5,57.7,63.2,1.743,60.0,3.564,2023
156,Henrik Norlander,36,"$368,697",165,14,43,7,0,0,70.6,290.9,61.3,67.6,1.799,48.4,3.326,2023
156,Matthias Schwab,28,"$441,524",148,17,55,10,1,0,70.8,290.9,61.6,64.6,1.786,48.0,3.364,2023
156,Matthew NeSmith,29,"$1,327,492",418,14,41,6,3,0,70.9,290.9,59.3,66.3,1.767,51.6,3.585,2023
159,Zach Johnson,47,"$496,951",129,9,32,7,0,0,71.0,290.7,66.1,65.3,1.798,42.6,3.188,2023
159,Joel Dahmen,35,"$1,342,654",435,14,50,11,3,0,70.0,290.7,67.0,67.8,1.741,57.9,3.980,2023
159,Harrison Endycott,26,"$505,774",209,15,45,7,1,0,71.0,290.7,60.2,65.2,1.756,50.6,3.689,2023
159,Doc Redman,25,"$222,458",87,12,32,4,0,0,71.7,290.7,55.8,64.1,1.797,50.0,3.281,2023
163,Jim Herman,45,"$236,199",79,13,35,5,0,0,71.4,290.5,61.6,66.0,1.839,35.0,3.457,2023
164,Robby Shelton,27,"$1,153,871",431,16,56,12,2,0,70.1,290.4,58.7,65.8,1.750,66.3,3.857,2023
165,Sung Kang,35,"$82,282",38,8,23,3,0,0,71.7,290.3,51.4,63.5,1.711,62.5,3.783,2023
166,David Lipsky,34,"$793,068",267,15,47,8,2,0,70.8,290.0,64.7,65.4,1.785,48.5,3.766,2023
167,Danny Lee,32,"$316,795",112,11,34,6,0,0,70.1,289.8,60.6,67.6,1.758,56.5,4.000,2023
168,Adam Long,35,"$352,152",118,18,55,9,0,0,71.2,289.3,63.0,64.6,1.775,49.5,3.273,2023
169,Lucas Glover,43,"$301,897",81,13,44,8,0,0,71.3,289.1,65.0,65.0,1.769,54.3,3.591,2023
169,Chris Stroud,41,"$394,104",145,9,29,5,1,0,70.3,289.1,61.3,67.8,1.768,55.3,3.690,2023
171,Troy Merritt,37,"$448,241",140,15,42,5,1,0,71.4,289.0,63.0,60.4,1.764,42.0,3.548,2023
172,Michael Thompson,37,"$298,817",111,12,39,7,0,0,71.1,288.6,62.0,63.8,1.781,46.6,3.410,2023
173,Philip Knowles,--,"$53,421",18,9,25,3,0,0,71.3,288.5,62.9,65.3,1.765,40.0,3.800,2023
174,Adam Svensson,29,"$3,173,118",807,17,56,13,2,1,70.2,288.3,60.6,66.2,1.789,53.7,3.643,2023
174,Chad Ramey,30,"$529,095",115,18,49,7,0,0,71.1,288.3,60.8,64.4,1.741,46.7,3.878,2023
176,Russell Henley,33,"$3,040,831",786,12,36,8,2,1,70.2,287.8,73.9,68.2,1.758,50.0,3.972,2023
177,Christiaan Bezuidenhout,28,"$1,015,242",252,13,42,10,0,0,70.4,287.2,62.7,64.7,1.761,60.3,3.524,2023
178,Scott Brown,39,"$59,825",22,7,23,4,0,0,72.3,287.0,63.6,63.3,1.840,38.1,2.913,2023
179,Francesco Molinari,40,"$421,093",73,9,26,4,0,0,72.4,286.8,61.9,61.3,1.833,43.6,2.885,2023
180,Brice Garnett,39,"$294,235",119,13,44,8,1,0,70.9,286.7,61.2,67.6,1.763,45.7,3.545,2023
181,Chez Reavie,41,"$577,408",139,15,40,5,1,0,71.8,286.4,66.5,66.4,1.826,43.3,3.050,2023
182,Mark Hubbard,33,"$695,390",249,17,50,8,1,0,70.4,286.3,61.8,65.4,1.754,49.5,3.680,2023
183,Cameron Percy,48,"$411,385",161,9,27,5,0,0,70.9,286.2,60.3,66.7,1.815,58.3,2.889,2023
184,Andrew Landry,35,"$105,199",33,12,35,6,0,0,71.5,286.0,62.7,60.6,1.791,60.3,2.971,2023
185,Sean O'Hair,40,"$275,791",123,8,26,5,0,0,70.8,285.6,61.6,66.2,1.765,49.0,3.846,2023
186,John Huh,32,"$121,256",45,8,24,4,0,0,71.0,285.5,57.3,61.3,1.736,52.4,3.458,2023
187,Max McGreevy,27,"$243,643",103,18,46,4,1,0,72.4,284.9,55.6,59.1,1.765,53.3,3.239,2023
188,Camilo Villegas,41,"$33,148",14,7,21,3,0,0,72.0,284.0,58.7,59.3,1.786,50.0,3.476,2023
189,Kelly Kraft,34,"$136,634",43,13,35,4,0,0,72.1,283.6,63.5,58.7,1.789,49.3,2.943,2023
190,Jonathan Byrd,45,"$95,474",51,10,28,3,0,0,71.0,283.4,59.6,66.1,1.805,45.5,3.286,2023
