"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
398,669923,"Kirby, George",1668,23.9,0.244,0.126,0.283,0.37,0.277,0.298,0.269,29,119,86.6,6.9,2224,95.6,95.82,33,213,185,0.20000000000000284,6.45,108,149,119,146,294,318,293
398,660853,"De Los Santos, Enyel",594,67,0.222,0.122,0.286,0.344,0.293,0.331,0.241,20,90,91.2,16.3,2273,95.6,95.46,45,210,188,-0.09999999999999432,6.24,113,146,114,147,296,314,293
398,645261,"Alcantara, Sandy",1794,22.2,0.245,0.196,0.296,0.441,0.299,0.292,0.248,25,102,88.3,19.2,2244,97.9,97.32,58,234,164,-0.6000000000000085,6.08,112,147,116,150,300,319,299
396,669854,"Blanco, Ronel",804,49.3,0.189,0.137,0.23,0.326,0.252,0.257,0.197,18,95,82.8,13.6,2150,88,88.88,93,212,184,0.9000000000000057,6.75,110,149,116,147,293,322,290
396,656638,"Lange, Alex",679,58.3,0.163,0.116,0.267,0.279,0.263,0.265,0.173,14,86,87.5,15.1,2252,86.9,87.12,93,180,216,0.19999999999998863,6.43,114,147,117,145,299,328,299
395,607625,"Lugo, Seth",1151,34.3,0.313,0.071,0.39,0.384,0.319,0.328,0.297,31,99,88.3,-4.4,3248,79.4,77.96,46,188,207,-1.4000000000000057,5.74,113,149,114,150,293,322,294
395,592836,"Walker, Taijuan",1635,24.2,0.248,0.099,0.296,0.347,0.289,0.306,0.26,25,101,86.4,6.2,2002,92.9,92.26,15,177,218,-0.6000000000000085,5.92,112,149,116,148,297,323,295
395,608032,"Estévez, Carlos",614,64.3,0.187,0.077,0.288,0.264,0.261,0.257,0.168,17,91,89.9,28.3,2200,97.1,97.19,68,217,178,0.10000000000000853,6.44,112,148,114,148,298,327,300
393,663776,"Sandoval, Patrick",1502,26.2,0.191,0.145,0.233,0.336,0.252,0.295,0.233,21,110,83.7,5.9,1772,83.1,82.88,82,206,187,-0.19999999999998863,6.22,108,151,116,146,304,328,297
393,686610,"Waldichuk, Ken",1428,27.5,0.216,0.159,0.321,0.375,0.3,0.276,0.198,19,88,87.6,15.5,2098,80.9,81.7,54,178,215,0.7999999999999972,6.86,109,145,115,147,299,322,294
392,543518,"McGough, Scott",795,49.3,0.203,0.13,0.25,0.333,0.276,0.336,0.247,14,69,93.2,14.1,2354,93.7,92.73,32,164,228,-1,5.77,112,149,116,148,301,319,293
392,691587,"Pérez, Eury",881,44.5,0.292,0.281,0.3,0.573,0.397,0.389,0.291,26,89,92.7,26.8,2640,97.6,98.49,29,202,190,0.9000000000000057,6.93,113,149,115,150,302,319,296
391,640451,"Harvey, Hunter",640,61.1,0.208,0.198,0.254,0.406,0.295,0.317,0.22,20,96,91.5,16.1,2067,98.6,97.97,55,206,185,-0.5999999999999943,6.24,117,148,116,147,308,331,306
390,663687,"Harris, Hogan",820,47.6,0.229,0.169,0.276,0.398,0.346,0.347,0.217,19,83,92.1,17.6,2275,92.7,92.48,39,190,200,-0.20000000000000284,6.3,109,147,115,147,298,322,292
389,686973,"Varland, Louie",918,42.4,0.278,0.278,0.333,0.556,0.373,0.323,0.243,25,90,93.4,18.1,2216,94.9,95.87,48,205,184,1,6.94,110,150,120,150,298,328,291
389,656061,"Abreu, Albert",698,55.7,0.228,0.139,0.302,0.367,0.329,0.332,0.229,18,79,90.1,7.4,2138,97.4,97.89,32,158,231,0.5,6.64,115,150,119,152,297,327,289
389,571945,"Mikolas, Miles",1937,20.1,0.256,0.073,0.333,0.329,0.276,0.296,0.236,21,82,89.8,7.9,2499,75.9,75.79,34,156,233,-0.10000000000000853,6.44,114,148,114,149,300,316,298
389,663776,"Sandoval, Patrick",1502,25.9,0.354,0.152,0.382,0.506,0.419,0.386,0.3,28,79,88.3,8.7,2013,92.5,91.99,23,169,220,-0.5,6.14,108,151,115,146,303,327,296
388,666200,"Luzardo, Jesús",1878,20.7,0.26,0.169,0.304,0.429,0.332,0.296,0.207,20,77,84.3,0.4,1974,88.4,87.17,74,197,191,-1.2000000000000028,5.62,107,151,118,148,304,318,292
388,676760,"Marinaccio, Ron",753,51.5,0.197,0.07,0.277,0.268,0.27,0.343,0.224,14,71,90.5,17.9,2267,93.8,93.99,56,196,192,0.20000000000000284,6.55,113,148,114,151,297,328,288
387,621051,"Wilson, Steven",647,59.8,0.155,0.19,0.167,0.345,0.246,0.264,0.18,13,84,85,26.5,2612,80.9,81.44,50,184,203,0.5,6.83,114,151,116,150,294,322,292
386,669456,"Bieber, Shane",1791,21.6,0.165,0.157,0.202,0.323,0.218,0.253,0.208,21,127,88.5,8.7,2534,84.6,85.63,69,212,174,1,6.72,110,149,118,148,299,315,289
386,622491,"Castillo, Luis",1829,21.1,0.208,0.208,0.231,0.416,0.267,0.242,0.204,16,77,85.8,9.4,2352,85.6,84.44,61,172,214,-1.1999999999999886,5.52,113,148,117,147,293,320,297
386,592351,"Gray, Jon",1471,26.2,0.188,0.083,0.276,0.271,0.217,0.231,0.203,18,96,84.8,20.2,2433,87.4,88.11,77,207,179,0.6999999999999886,6.62,114,149,118,148,303,331,299
386,642547,"Peralta, Freddy",1721,22.4,0.198,0.186,0.265,0.384,0.3,0.315,0.225,17,86,84.3,19,2350,82.1,83.12,81,168,218,1,6.99,111,151,118,147,299,325,293
386,657376,"Schmidt, Clarke",1603,24.1,0.314,0.143,0.356,0.457,0.36,0.359,0.299,33,105,93.4,7.9,2540,94,94.28,17,182,204,0.29999999999999716,6.42,111,150,116,151,297,326,289
385,675540,"Curry, Xzavion",773,49.8,0.215,0.14,0.236,0.355,0.27,0.355,0.294,20,93,93.5,16.3,2109,92.9,92.73,41,207,178,-0.20000000000000284,6.22,113,149,120,149,296,314,291
