Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Christian Arroyo,BOS,87,300,6,32,36,5,4.30%,16.30%,0.129,0.326,0.286,0.322,0.414,0.319,0.33,102,-3.2,-2.4,-5.3,0.2
Jordan Luplow,ARI,83,234,11,26,28,5,10.70%,25.60%,0.185,0.185,0.176,0.274,0.361,0.281,0.288,78,0.3,-5.8,-0.3,0.2
Dermis Garcia,OAK,39,125,5,13,20,0,6.40%,44.00%,0.181,0.339,0.207,0.264,0.388,0.285,0.244,90,-0.2,-1.7,-0.6,0.2
Nick Madrigal,CHC,59,228,0,19,7,3,6.10%,11.80%,0.033,0.286,0.249,0.305,0.282,0.267,0.283,70,-0.4,-8.2,2.2,0.2
Austin Nola,SDP,110,397,4,40,40,2,8.60%,15.10%,0.078,0.284,0.251,0.321,0.329,0.29,0.305,89,-0.8,-5.9,-5.8,0.2
Kyle Garlick,MIN,66,162,9,23,18,0,4.90%,29.60%,0.2,0.277,0.233,0.284,0.433,0.311,0.305,104,1.1,1.8,-5.4,0.2
Gavin Sheets,CHW,124,410,15,34,53,0,6.60%,21.00%,0.17,0.272,0.241,0.295,0.411,0.308,0.283,100,-2.6,-2.7,-8.8,0.2
Nomar Mazara,SDP,55,171,2,16,18,0,5.80%,23.40%,0.088,0.342,0.264,0.316,0.352,0.297,0.294,94,0,-1.1,-3.1,0.2
P.J. Higgins,CHC,74,229,6,23,30,0,9.60%,25.30%,0.154,0.29,0.229,0.31,0.383,0.306,0.264,97,-1.2,-2,-4.3,0.2
Yadier Molina,STL,80,270,5,19,24,2,1.90%,14.80%,0.088,0.234,0.214,0.233,0.302,0.235,0.254,51,-4.4,-19.7,12,0.1
Charlie Blackmon,COL,135,577,16,60,78,4,5.50%,18.90%,0.155,0.304,0.264,0.314,0.419,0.317,0.301,89,1.4,-5.9,-12.2,0.1
Shea Langeliers,OAK,40,153,6,14,22,0,5.90%,34.60%,0.211,0.294,0.218,0.261,0.43,0.296,0.261,97,-0.3,-0.8,-2.8,0.1
Yu Chang,- - -,69,190,4,19,15,0,8.40%,31.10%,0.107,0.29,0.208,0.289,0.315,0.273,0.29,78,-1.5,-6.4,1.4,0.1
