Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Michael Chavis,PIT,129,426,14,39,49,1,4.50%,29.60%,0.16,0.294,0.229,0.265,0.389,0.282,0.261,80,0.3,-9.7,-10.6,-0.6
Stephen Vogt,OAK,70,191,7,18,23,1,8.90%,24.10%,0.161,0.168,0.161,0.241,0.321,0.249,0.282,64,0,-7.8,-4.5,-0.6
Lewin Diaz,MIA,58,174,5,12,11,1,6.30%,31.00%,0.119,0.214,0.169,0.224,0.288,0.228,0.219,45,-0.6,-11.7,-0.4,-0.7
Nick Senzel,CIN,110,420,5,45,25,8,7.10%,18.10%,0.075,0.276,0.231,0.296,0.306,0.272,0.299,66,-0.9,-17.5,-3,-0.7
Frank Schwindel,CHC,75,292,8,23,36,0,6.50%,19.90%,0.129,0.261,0.229,0.277,0.358,0.278,0.278,78,-2.5,-10,-6.2,-0.7
Abraham Toro,SEA,109,352,10,36,35,2,6.30%,18.50%,0.139,0.198,0.185,0.239,0.324,0.246,0.284,62,-1.1,-16.4,-1.6,-0.7
Darin Ruf,- - -,119,388,11,52,45,2,11.60%,27.10%,0.135,0.258,0.204,0.307,0.338,0.291,0.31,89,0.2,-4.8,-15.3,-0.7
Cooper Hummel,ARI,66,201,3,20,17,4,11.40%,31.80%,0.131,0.255,0.176,0.274,0.307,0.262,0.292,65,0.1,-8.1,-5.9,-0.8
Maikel Franco,WSN,103,388,9,31,39,1,3.10%,19.30%,0.113,0.262,0.229,0.255,0.342,0.261,0.272,64,-3.6,-19.8,-0.8,-0.8
Nick Castellanos,PHI,136,558,13,56,62,7,5.20%,23.30%,0.126,0.326,0.263,0.305,0.389,0.304,0.302,94,-2.8,-6.8,-19.6,-0.8
Michael Papierski,- - -,39,103,1,7,4,0,9.70%,25.20%,0.044,0.188,0.143,0.228,0.187,0.197,0.217,16,-1.1,-11.1,0,-0.8
Tommy La Stella,SFG,60,195,2,17,14,0,5.60%,15.40%,0.111,0.272,0.239,0.282,0.35,0.277,0.267,78,-1.2,-6.1,-8.1,-0.8
Kurt Suzuki,LAA,51,159,4,10,15,0,9.40%,18.20%,0.115,0.194,0.18,0.266,0.295,0.254,0.255,60,-2.4,-9.5,-3.6,-0.8
Nelson Cruz,WSN,124,507,10,50,64,4,9.70%,23.50%,0.103,0.295,0.234,0.313,0.337,0.292,0.32,85,-3.1,-11.9,-13.3,-0.8
Joey Votto,CIN,91,376,11,31,41,0,11.70%,25.80%,0.165,0.257,0.205,0.319,0.37,0.31,0.322,92,-4.1,-7.6,-13.4,-0.9
Yuli Gurriel,HOU,146,584,8,53,53,8,5.10%,12.50%,0.117,0.266,0.242,0.288,0.36,0.285,0.271,85,-0.8,-11,-16.6,-0.9
Seth Beer,ARI,38,126,1,4,9,0,8.70%,24.60%,0.054,0.25,0.189,0.278,0.243,0.239,0.276,49,-1.9,-9.4,-3.9,-0.9
Hunter Dozier,KCR,129,500,12,51,41,4,6.80%,25.00%,0.152,0.298,0.236,0.292,0.387,0.298,0.301,90,-8.4,-14.1,-11.1,-1
Spencer Torkelson,DET,110,404,8,38,28,0,9.20%,24.50%,0.117,0.255,0.203,0.285,0.319,0.272,0.305,76,-3.2,-14,-8.2,-1
Ernie Clement,- - -,70,179,0,19,6,0,6.10%,14.50%,0.025,0.217,0.184,0.243,0.209,0.209,0.277,31,-1.2,-15,-0.2,-1
Jed Lowrie,OAK,50,184,3,14,16,1,8.20%,21.20%,0.084,0.213,0.18,0.245,0.263,0.23,0.247,50,-0.7,-10.9,-4.6,-1
Cristian Pache,OAK,91,260,3,18,18,2,5.80%,26.90%,0.075,0.22,0.166,0.218,0.241,0.207,0.259,35,-1.7,-20.8,2.8,-1
Leury Garcia,CHW,97,315,3,38,20,2,2.20%,20.60%,0.057,0.255,0.21,0.233,0.267,0.221,0.258,39,2.2,-19.5,-0.9,-1.1
Franmil Reyes,- - -,118,473,14,43,47,2,6.30%,33.20%,0.144,0.307,0.221,0.273,0.365,0.28,0.275,80,-2.7,-13.6,-12.3,-1.1
Austin Romine,- - -,51,136,3,10,9,0,2.90%,33.80%,0.093,0.213,0.155,0.187,0.248,0.193,0.195,15,-0.5,-13.9,-1.2,-1.1
Eddie Rosario,ATL,80,270,5,27,24,3,6.30%,25.20%,0.116,0.267,0.212,0.259,0.328,0.258,0.25,61,1.3,-10.8,-9,-1.1
Kole Calhoun,TEX,125,424,12,36,49,3,6.40%,32.10%,0.134,0.263,0.196,0.257,0.33,0.26,0.294,67,-0.8,-16.8,-7.5,-1.1
Brad Miller,TEX,81,241,7,20,32,4,7.50%,29.00%,0.108,0.274,0.212,0.27,0.32,0.263,0.269,69,-1.1,-9.6,-8.8,-1.1
Jose Barrero,CIN,48,174,2,13,10,4,5.20%,43.70%,0.055,0.264,0.152,0.195,0.206,0.183,0.18,5,0.9,-18.3,0.9,-1.2
Riley Adams,WSN,48,155,5,14,10,0,7.70%,29.70%,0.134,0.22,0.176,0.245,0.31,0.249,0.276,56,-1.1,-9.1,-7.9,-1.2
Yoshi Tsutsugo,PIT,50,193,2,11,19,0,9.80%,25.90%,0.059,0.221,0.171,0.249,0.229,0.221,0.254,38,-0.6,-14.5,-4.3,-1.3
Jonathan Villar,- - -,59,220,3,25,18,7,6.80%,26.80%,0.094,0.275,0.208,0.26,0.302,0.25,0.247,58,2.2,-8.4,-11.6,-1.3
Robinson Cano,- - -,33,104,1,5,4,0,3.80%,24.00%,0.04,0.189,0.15,0.183,0.19,0.169,0.237,6,-1.8,-13.1,-3.6,-1.4
Elias Diaz,COL,105,381,9,29,51,0,6.60%,21.50%,0.14,0.27,0.228,0.281,0.368,0.284,0.274,67,-3.9,-18.6,-7.8,-1.4
Miguel Cabrera,DET,112,433,5,25,43,1,6.50%,23.30%,0.063,0.324,0.254,0.305,0.317,0.275,0.275,79,-5.4,-15.8,-11.8,-1.5
Robinson Chirinos,BAL,67,220,4,10,22,1,8.60%,30.50%,0.108,0.248,0.179,0.265,0.287,0.251,0.245,61,-1.2,-10.9,-11.4,-1.6
